numero,nombre_cientifico,nombre_comun,rango,cantidad_observaciones,enlaces_observaciones
90,Corvus sinaloae,sinaloakråke,species,21,"319697797, 318499632, 318477822, 316427628, 314618423, 314485924, 299918201, 299889420, 292991945, 284850770, 282937698, 276353856, 276341353, 276340033, 273313278, 272748160, 272748148, 272748147, 272748141, 270098268, 269701849"
91,Ricinus communis,No disponible,species,21,"319295641, 319288283, 319246743, 319240926, 318782399, 306417408, 303053097, 296178343, 295903507, 291295747, 290137729, 280131113, 279221093, 278857198, 273709302, 273705785, 272624657, 272624655, 271263640, 271254657, 269190503"
92,Anthanassa tulcis,No disponible,species,21,"319252333, 319065877, 318709283, 318533261, 318328341, 315944268, 315597938, 315597922, 315335664, 315334864, 314933293, 310968501, 309982219, 309982189, 308358916, 307073736, 306169746, 290871061, 290018656, 277132414, 272619385"
93,Hamadryas februa,No disponible,species,20,"327576759, 324749757, 319836730, 319269475, 319252753, 319046266, 315944279, 315944273, 315597868, 315333145, 314928957, 314928933, 309982291, 309982120, 309982119, 309079087, 308358895, 300715681, 299648197, 295393132"
94,Mycteria americana,Wood Stork,species,20,"326041964, 323505732, 318315612, 314018179, 309418317, 303024571, 300011997, 300011995, 298295502, 297773318, 290514161, 287492108, 284413046, 284316593, 281664932, 280220286, 277856184, 276785780, 273343315, 270856199"
95,Cardisoma crassum,No disponible,species,20,"324871742, 318487126, 317902658, 313257917, 308856722, 306058086, 304759958, 304398418, 304398218, 304398033, 304397155, 304159206, 302791860, 302244929, 301808928, 299409562, 294072121, 293220390, 292787144, 292167808"
96,Marpesia petreus,No disponible,species,20,"322058285, 318499001, 314006729, 308306217, 305636406, 302727494, 301951618, 301704660, 301702478, 300681112, 300172158, 299664062, 299647009, 299406566, 299087712, 298704800, 298408695, 298291339, 297040601, 282135383"
97,Cynanthus latirostris,Broad-billed Hummingbird,species,20,"319184086, 310693180, 308358890, 303023854, 298321740, 297096386, 295909677, 294507592, 292417405, 291065127, 290797666, 290521069, 290514277, 290514276, 290514275, 290293284, 289599034, 272303980, 272279318, 272276333"
98,Zenaida macroura,No disponible,species,20,"310693195, 310693165, 309265119, 308912462, 303023847, 300011971, 299918243, 299050836, 295906913, 283367899, 281944816, 280547790, 280542010, 280527722, 278847383, 272481859, 272481144, 271966260, 271886628, 270351144"
99,Cocos nucifera,No disponible,species,19,"327684843, 326637011, 326287820, 319632133, 310304943, 307357654, 303619760, 296656645, 296066035, 296060058, 295409638, 294096758, 292702132, 283297147, 277856164, 272623210, 271630270, 271335311, 271335302"
100,Gasteracantha cancriformis,orb weavers,species,19,"327435349, 325263695, 324975701, 324817657, 319032551, 319032408, 317710099, 316310728, 315679542, 315074495, 315042656, 309516961, 307923526, 300232461, 299898904, 298257845, 283161772, 280640336, 278516274"
101,Lepidochelys olivacea,No disponible,species,19,"327255787, 326129633, 325726332, 318333089, 318030161, 313225631, 309418334, 297759964, 296678787, 294166541, 291939514, 286635646, 278579550, 278579537, 278579534, 275335786, 272565944, 272565843, 269408526"
102,Passer domesticus,house sparrow,species,19,"326454359, 324102605, 322063070, 319287408, 319286287, 319182962, 318709380, 318709330, 318709302, 317905747, 297455180, 283747476, 283747472, 281944791, 276404142, 273653672, 272623219, 272623208, 272570193"
103,Incilius mazatlanensis,No disponible,species,19,"325949846, 323916860, 318669124, 318434329, 318326961, 314514869, 310956429, 308107804, 307795409, 306317880, 304301166, 300868655, 297528065, 296821853, 289104093, 285704628, 285562462, 282812346, 282275171"
104,Nycticorax nycticorax,"Black-crowned Night-Heron (Eurasian), Eurasian Black-crowned Night Heron, Black-crowned Night-heron (eurasian), natthäger, underarten nycticorax, natthäger, rasen nycticorax, eurasisk natthäger, ゴイサギ",species,19,"323100340, 319426598, 319396223, 319057876, 318554354, 313973661, 305867904, 304885722, 303024572, 303023855, 300011959, 297773320, 291557330, 290514183, 290514171, 290514128, 287089930, 273894873, 273339248"
105,Passerina ciris,Painted Bunting,species,19,"322489702, 321665014, 320205335, 319426621, 319426608, 319234563, 318467747, 304851822, 277856252, 276867915, 274728543, 273645598, 270946442, 270878064, 270679437, 270511263, 270458455, 270458452, 269694339"
106,Trogon citreolus,Citreoline Trogon,species,19,"319600577, 318702899, 306288228, 304363213, 303622937, 301929652, 299753592, 295296968, 293060373, 293059336, 288197759, 280669993, 279527127, 276443243, 273313240, 272616751, 271072090, 271034876, 269697328"
107,Ocypode occidentalis,No disponible,species,19,"314006720, 306317898, 304606699, 304150594, 302623887, 300735259, 300043528, 299093920, 297182392, 297023118, 295409536, 295409498, 294396614, 287743882, 277450323, 273894414, 273894123, 273892388, 273885823"
108,Glaucidium brasilianum,No disponible,species,18,"327670139, 319426574, 319426547, 317805546, 310742836, 308589147, 308348706, 299757734, 297749607, 294141325, 286452160, 279348592, 278369499, 271739960, 271323260, 271296117, 271134316, 270047285"
109,Sceloporus utiformis,No disponible,species,18,"327575357, 319291695, 309669278, 305564328, 302527120, 297440420, 296037395, 293045157, 288593773, 288593710, 288499151, 287746878, 287746859, 287744716, 283835383, 278292005, 271713683, 270664795"
110,Strategus aloeus,No disponible,species,18,"327179086, 320292046, 319793050, 303606172, 302420504, 298597894, 298049441, 297796602, 296908815, 296901669, 296398959, 296153322, 295892548, 295559216, 295536373, 295156684, 294848061, 294218044"
111,Actitis macularius,No disponible,species,18,"327147390, 325741487, 324975683, 323502984, 319402652, 318551852, 318482093, 317456854, 304836094, 303623801, 293248623, 280221789, 278579699, 273645635, 273645604, 272756342, 272489309, 269505575"
112,Falco sparverius,cernicalo,species,18,"326645805, 326214185, 323731109, 313230875, 313230857, 300209866, 299918241, 298547979, 297784736, 290733804, 290733680, 290733640, 289403000, 289066294, 286640150, 284972486, 271263589, 271263584"
113,Ipomoea trifida,No disponible,species,18,"326095683, 324187078, 322828050, 322827785, 322793812, 319599905, 319593397, 319249550, 319249282, 319181698, 318966521, 318887992, 318554371, 318495368, 318481341, 294231818, 285400241, 271323253"
114,Sciurus colliaei,No disponible,species,18,"324713928, 324276068, 321161835, 319634695, 319226230, 319046016, 318946868, 318709308, 318454549, 314879744, 310121622, 296429370, 294755105, 282287857, 281542864, 279526581, 274422585, 270679428"
115,Mimus polyglottos,No disponible,species,18,"320213916, 298273473, 298271941, 297784760, 293249628, 292991883, 290733886, 290733801, 290514290, 290514205, 289407085, 289402000, 286635843, 281377621, 278579641, 271335307, 271263601, 271040340"
116,Dryocopus lineatus,"Picamaderos listado, Lineated Woodpecker, Gestreepte Helmspecht, Linienspecht, Pic ouentou, Picchio lineato, Stribet Sortspætte, Stripesvartspett, csíkos feketeharkály, datel čárkovaný, dryžoji meleta, dzięcioł czerwonoczuby, neotropisk spillkråka, olkainpalokärki, pica-pau-de-banda-branca, picot negre llistat, tesár škvrnitý, vööt-musträhn, Полосатая желна, シマクマゲラ, 線紋黑啄木, 细纹黑啄木鸟",species,18,"319616184, 319212428, 316617159, 314879760, 309273346, 305446137, 303860095, 295238733, 293244810, 293059350, 293059347, 286207828, 276452602, 272218592, 271562666, 271259607, 270758142, 270097281"
117,Euptoieta hegesia meridiania,No disponible,subspecies,18,"319294629, 317434620, 315713809, 315185278, 313562418, 310661767, 306904824, 305211826, 303288613, 302977907, 299350491, 298042036, 297092139, 294358381, 293217888, 291572605, 287215154, 270664773"
118,Golofa pusilla,No disponible,species,17,"327738892, 327183839, 320292030, 314500662, 301209894, 296153619, 296152531, 296152465, 294775489, 293301095, 293181251, 293126575, 292875198, 292862775, 292396690, 290559539, 290311201"
119,Attalea guacuyule,No disponible,species,17,"327312518, 327312508, 327311836, 325807276, 325807261, 320203059, 319440320, 319292415, 319252744, 319081659, 317458344, 314589855, 314520192, 301707553, 298201654, 277419673, 272434735"
120,Ascalapha odorata,No disponible,species,17,"327311955, 326654369, 324898808, 324243237, 322836938, 321946909, 321935563, 321537739, 320068136, 319836954, 318946861, 313197964, 311779126, 307348280, 306414402, 301283182, 295393220"
121,Tityra semifasciata,masketityra,species,17,"327156530, 326350187, 304850137, 303624547, 303216739, 298042018, 295241709, 290695216, 288593778, 288529382, 287949315, 281851475, 280209131, 277850008, 276810907, 271292834, 269098736"
122,Bursera simaruba,No disponible,species,17,"327058978, 319696170, 319292227, 319254649, 319206718, 319086133, 319045847, 318963565, 318748517, 318554394, 318533369, 318476725, 318456523, 314914857, 300819625, 296904696, 270960097"
123,Dryobates scalaris,Ladder-backed Woodpecker,species,17,"326217540, 326217538, 323102711, 319286546, 319047570, 305423988, 299825051, 292991825, 291944199, 290733752, 290514190, 290514150, 277592231, 276649269, 273653704, 273283471, 273273953"
124,Columba livia domestica,"gávpotduvvá, bydue",variety,17,"324705030, 321307874, 318646466, 314879734, 313907240, 313230888, 303860079, 300012023, 297795092, 296400003, 281122046, 280135675, 278123338, 277718444, 277718412, 272361676, 271630269"
125,Piaya mexicana,Mexican Squirrel-cuckoo,species,17,"320771955, 320202597, 319052978, 315332893, 304891484, 299824613, 298321742, 290734974, 281542858, 280013023, 276442603, 273645594, 272487361, 272247489, 271283343, 270932037, 270099395"
126,Egretta tricolor,Tricolored Heron,species,17,"319402373, 319256993, 318709218, 309418333, 303621850, 303024565, 300011996, 299104865, 299103961, 298295493, 297794681, 297794673, 297612950, 280613325, 272275117, 271488925, 271040347"
127,Leucophaeus atricilla,No disponible,species,17,"307763024, 303303103, 303024579, 300011969, 297774749, 297724846, 290277659, 290263096, 289597388, 283990146, 283715938, 283273215, 282937715, 282937714, 281542892, 281513463, 279527323"
128,Leptophis diplotropis,Pacific coast parrot snake,species,16,"328084234, 327803562, 323330658, 319837158, 317864739, 314703155, 304053142, 300545453, 296133854, 296133853, 295182831, 291058820, 289066270, 288198125, 274137515, 271605480"
129,Melanerpes formicivorus,Acorn Woodpecker,species,16,"328017100, 322352060, 321182117, 319388474, 319388468, 319388464, 319275908, 314473744, 308568158, 302496179, 297230464, 296024143, 288529395, 284324958, 278736207, 278728729"
130,Plumeria rubra,No disponible,species,16,"327452142, 326888242, 326799972, 319212456, 314725101, 308248097, 307789441, 304322275, 298265702, 295532057, 294136495, 294109101, 292527662, 277620495, 275246579, 271723674"
131,Heteropoda venatoria,No disponible,species,16,"327389657, 319306166, 319245748, 318331526, 318329219, 316903252, 316743934, 306824808, 296815193, 292267223, 290824507, 290311266, 289008613, 282812218, 281423811, 270229787"
132,Porphyrio martinica,No disponible,species,16,"326202081, 318709408, 304052016, 298465727, 297773329, 295902598, 292991838, 292910218, 290580829, 290514337, 290514159, 290484640, 277549464, 276386784, 273653724, 273343325"
133,Heliconius erato cruentus,Kleiner Kurier,subspecies,16,"324729410, 319479862, 319252687, 318499007, 315334987, 302656578, 296391797, 296378108, 295215747, 293020273, 293020272, 292459453, 291696195, 284412115, 282690613, 277067869"
134,Burnsius oileus,No disponible,species,16,"323959135, 319699476, 319505302, 319294812, 318761829, 315719170, 315336354, 314468595, 314455884, 309982226, 309141202, 297230451, 296027543, 290873535, 283085238, 270664775"
135,Smyrna blomfildia datis,No disponible,subspecies,16,"322494463, 322483922, 319053059, 315735138, 312345799, 311271018, 309982247, 305941953, 304237831, 304070177, 301808662, 300026840, 295238727, 294433172, 293040444, 270827933"
136,Callipepla douglasii,sinaloavaktel,species,16,"299982554, 299918305, 297784746, 290514292, 290514258, 290514254, 290514210, 290514209, 290514169, 280660030, 279524601, 278798629, 273275303, 272625252, 272625251, 271689582"
137,Megasoma occidentale,No disponible,species,15,"328146834, 327567663, 326260305, 326108046, 325806719, 325278462, 324164413, 323725833, 323504355, 322134424, 321419905, 321397877, 316742977, 315868886, 297065409"
138,Melanotis caerulescens,"Mulato Azul, Blue Mockingbird, Blauspottdrossel, Blauwe Spotlijster, Blå Spottedrossel, Blåspottefugl, Mimo azzurro, Moqueur bleu, blå härmtrast, drozdec modrý, kék gezerigó, mim blau, paprastasis mėgdžiotojas, przedrzeźniacz błękitny, sinimatkija, Синий черноухий пересмешник, アオマネシツグミ, 蓝嘲鸫, 藍嘲鶇",species,15,"327806556, 318771592, 318709361, 298321735, 290733812, 290514182, 290514172, 290037715, 290000558, 280970269, 276661662, 276659541, 276655390, 272274397, 270511618"
139,Oxybelis microphthalmus,No disponible,species,15,"327623668, 324058685, 317885726, 317066359, 314958661, 307354243, 300338031, 297631098, 293528933, 291401177, 289310299, 289165791, 288148901, 287122802, 269825930"
140,Numenius hudsonicus,No disponible,species,15,"327147385, 326819642, 326128393, 325047898, 323502982, 320568480, 319615620, 318471328, 313998777, 309033111, 307178824, 306317881, 296944916, 272226990, 269502289"
141,Melanerpes uropygialis,kaktusspett,species,15,"326220198, 319161489, 318554344, 306539870, 298321744, 286452340, 281277057, 280971545, 280210515, 279527864, 271295902, 271060662, 271048537, 270091642, 270091640"
142,Polioptila caerulea,Blue-gray Gnatcatcher,species,15,"325826507, 325781666, 324408682, 323723743, 319347391, 319287732, 319159666, 319053780, 318702912, 318554637, 315933351, 290733862, 290733858, 290733857, 272625744"
143,Aspidoscelis lineattissimus,No disponible,species,15,"325781933, 319608363, 319207970, 318706372, 318505976, 315960786, 298202698, 297146959, 293045135, 290516165, 289840998, 279753382, 275259946, 269884152, 269698428"
144,Himantopus mexicanus,Black-necked Stilt,species,15,"324975705, 318503339, 318481385, 289066230, 287492101, 284847895, 282937682, 280135663, 277856246, 277856174, 276383817, 273645652, 273339205, 272879278, 271371693"
145,Sceloporus albiventris,No disponible,species,15,"324410428, 311070287, 311070279, 309848526, 305620453, 305582870, 303762619, 299831957, 296037356, 295545094, 295126556, 290733684, 290514334, 284127699, 281871092"
146,Muntingia calabura,No disponible,species,15,"321348493, 318693241, 318554381, 311342484, 299098267, 298985908, 297467931, 296674265, 296286765, 295899804, 292372048, 290170216, 272756355, 272570894, 272444930"
147,Leptodeira maculata,Southwestern cat-eyed snake,species,15,"320983776, 319018437, 316170320, 315245235, 306947150, 306947079, 306681078, 304301170, 297904646, 297839956, 297778049, 295393240, 291616432, 279445649, 272067257"
148,Platalea ajaja,Roseate Spoonbill,species,15,"318315724, 317924299, 309744830, 300012012, 298295495, 296115311, 290733916, 290514335, 289336660, 287492098, 277856215, 277856182, 276463285, 275141168, 271471129"
149,Buteogallus anthracinus,No disponible,species,15,"314863315, 309547439, 306835594, 297186555, 295119922, 290696488, 286204160, 284312186, 283024915, 276454316, 276388533, 273339233, 271330807, 271295590, 269308127"
150,Lampropeltis polyzona,No disponible,species,14,"327623755, 324978013, 324975674, 324730341, 323134689, 317905758, 306681050, 292991841, 282668077, 278143516, 278140504, 278139914, 272067265, 271689572"
151,Thryophilus sinaloa,sinaloasmett,species,14,"327621025, 319505250, 319047068, 314895829, 306657755, 299756720, 295313846, 295296961, 295217833, 293146653, 289851422, 281892698, 281056785, 276414524"
152,Ardea ibis,"Cattle Egret, Kohejre, Kuhegre, Kuhreiher, Kúhegri, Lehmähaikara, kohäger, kohäger/orientkohäger",species,14,"326232376, 319489022, 318474669, 303635347, 303621285, 294396625, 292218930, 282125732, 281403704, 281087042, 272756303, 272570268, 271458545, 271454114"
153,Ipomoea quamoclit,No disponible,species,14,"324853477, 324248958, 319819562, 319505300, 319483921, 319212347, 318946801, 318920930, 318920719, 318554404, 318553975, 318466397, 318459501, 315336244"
154,Hemiargus ceraunus gyas,No disponible,subspecies,14,"319780447, 310643689, 304836095, 303903668, 302496196, 299104481, 298055862, 296097425, 294227149, 294073172, 290252904, 290081129, 288306096, 270664843"
155,Tyrannus crassirostris,"Tirano Piquigrueso, Thick-billed Kingbird, Dickschnabel-Königstyrann, Diksnavelkoningstiran, Re dei tiranni beccogrosso, Tykknebbkongetyrann, Tyknæbbet Kongetyran, Tyran à bec épais, jämenokk-türanntikat, paksunokkatyranni, postriežkar silnozobý, resnknābja karaļputns, storasnapis karališkasis tironas, tirà becgròs, tjocknäbbad kungstyrann, tyran grubodzioby, tyran tlustozobý, Толстоклювый королевский тиранн, ハシブトタイランチョウ, 厚嘴王霸鶲, 厚嘴王霸鹟",species,14,"319505272, 319426563, 319184528, 319044334, 299832483, 296027550, 288593744, 288593737, 288593736, 288499167, 287493304, 278736204, 271713648, 270097279"
156,Incilius marmoreus,"Wiegmann's toad, marbled toad",species,14,"319479762, 318749905, 318491396, 318474959, 318473469, 318473034, 305143941, 293045156, 293045154, 293045153, 293045152, 293045149, 292261945, 289984655"
157,Momotus mexicanus,mexicomotmot,species,14,"295987914, 293159438, 292991823, 292419058, 292419052, 292419051, 292419046, 291270724, 290695843, 290514308, 274853812, 274076247, 271880041, 271451181"
158,Pachycereus pecten-aboriginum,No disponible,species,13,"327800149, 308358893, 307154843, 305269109, 297462569, 289178036, 278559606, 278559597, 278559557, 278142269, 272621116, 272619395, 272619393"
159,Momordica charantia,No disponible,species,13,"327421982, 327421690, 326890844, 326369355, 323390578, 318805386, 318698227, 301054433, 290700229, 286780425, 286161415, 271335316, 271335314"
160,Columbina talpacoti,No disponible,species,13,"327156533, 324102585, 319426588, 319274735, 319252760, 307893679, 299758424, 297485240, 292991816, 290514299, 289416478, 272570203, 271263603"
161,Anartia jatrophae luteipicta,No disponible,subspecies,13,"326849448, 324116611, 321407421, 311779833, 309571514, 305841646, 302382811, 301700551, 301681689, 298702679, 295860123, 290068160, 276854742"
162,Forpus cyanopygius insularis,No disponible,subspecies,13,"326214179, 326214177, 303805372, 303805370, 303805369, 303805367, 303805364, 303805363, 303805362, 303805358, 303805356, 282815634, 276655371"
163,Tachybaptus dominicus,No disponible,species,13,"325741482, 323100151, 319426618, 319426586, 318709374, 318506466, 307759457, 297773324, 290804239, 290695626, 277067880, 276155635, 272756311"
164,Fulica americana,American Coot,species,13,"325741480, 319615874, 318554335, 318551859, 315933573, 295902942, 294353265, 281891715, 280314454, 273339223, 272570978, 272570672, 269837448"
165,Columbina passerina,No disponible,species,13,"324978258, 324975672, 317905743, 315185298, 313230873, 308358894, 304363496, 303801654, 294659124, 290028977, 289400819, 278579691, 273653725"
166,Crotalus basiliscus,No disponible,species,13,"324410576, 320510963, 315450801, 303050494, 301087643, 299035609, 297268950, 297221951, 288491768, 281600551, 271295203, 270845961, 269524345"
167,Tlalocohyla smithii,No disponible,species,13,"324247236, 323581340, 318507547, 301072863, 300616253, 300261647, 297904896, 297904562, 297840094, 297839922, 292713646, 292428432, 285677944"
168,Spoladea recurvalis,No disponible,species,13,"324102610, 323561607, 323558781, 321407426, 321049896, 316312609, 315398402, 315166143, 313612042, 305911969, 304069972, 302977903, 298336447"
169,Paraphidippus fartilis,jumping spiders,species,13,"323700190, 322284028, 321417726, 320229290, 317884474, 316300945, 315450012, 308091098, 304045138, 301607613, 289979911, 286206667, 278494032"
170,Eleutherodactylus pallidus,"Rana-chirriadora Pálida, Rana-chirriadora pálida, Pale Peeping Frog",species,13,"322768540, 321929087, 320535261, 316742930, 315576506, 306323398, 303651486, 300963873, 297840266, 297180476, 291685559, 291124397, 291120641"
171,Icterus spurius,No disponible,species,13,"319505278, 319245962, 319035202, 318554349, 318499017, 309272929, 309079068, 309079065, 292991800, 290485554, 287095257, 272625246, 269099718"
172,Lanius ludovicianus,loggerhead shrike,species,13,"319275558, 299982389, 292991811, 290733867, 290733833, 290733788, 290733787, 290514216, 288593707, 286452531, 284972467, 284576517, 270664736"
173,Procyon lotor insularis,Tres Marias raccoon,subspecies,13,"319185019, 311326865, 304209667, 304071226, 299918227, 299918224, 298597306, 298547242, 298280082, 296177765, 289405631, 289066263, 269687485"
174,Haemorhous mexicanus,House Finch,species,13,"314010312, 314010311, 313976986, 310693196, 295313880, 292991869, 290733766, 290514222, 284896063, 283716508, 283373517, 283373515, 280972895"
175,Buteo jamaicensis,Red-tailed Hawk,species,13,"313276618, 292991880, 290733897, 290733840, 290733817, 290733807, 290733765, 290733697, 290733658, 290733656, 290733647, 284972483, 272452981"
176,Phoebis agarithe agarithe,No disponible,subspecies,13,"305636454, 302496201, 299106307, 297486397, 297483967, 295832281, 294512154, 293020271, 292729752, 290871310, 287211712, 286073697, 270664726"
177,Chlosyne hippodrome hippodrome,No disponible,subspecies,12,"327711261, 327544534, 322837172, 319479336, 314292463, 314008386, 310697982, 310697831, 309982300, 303619519, 295293592, 294471485"
178,Thalassoma lucasanum,No disponible,species,12,"327631601, 326904879, 324975719, 322702765, 321989152, 321989140, 308353974, 308353969, 308353967, 293024430, 292211169, 268841872"
179,Erythemis vesiculosa,No disponible,species,12,"324178792, 321425908, 319999637, 319396419, 319396266, 318827405, 318475191, 317689788, 313428749, 306509031, 292168814, 287211700"
180,Dasypus mexicanus,No disponible,species,12,"323916844, 313257976, 303822381, 301635289, 299663622, 299391299, 293061044, 292691422, 286670949, 275269172, 274854822, 269695071"
181,Charadrius vociferus,No disponible,species,12,"319599055, 318078905, 318078803, 318078798, 316740607, 310490916, 302382172, 295495722, 290788239, 290514134, 271483968, 271106957"
182,Melampodium divaricatum,No disponible,species,12,"319386743, 319304840, 319088513, 319072040, 318495289, 318466175, 318455381, 318454317, 314934904, 304322261, 294684678, 270960037"
183,Emilia fosbergii,Cupid's shaving-brush,species,12,"318788778, 318732785, 318554389, 318533190, 318467470, 309420345, 306831518, 298966473, 297797368, 297111871, 295549030, 270372365"
184,Phoebis marcellina,No disponible,species,12,"315713777, 311688983, 310570736, 307522438, 299102817, 297170779, 293040447, 292953829, 290068853, 285336286, 282135220, 269709982"
185,Battus polydamas polydamas,No disponible,subspecies,12,"311349567, 305844213, 305636450, 305636446, 305636444, 305636416, 305412086, 304811105, 288867077, 288140263, 287213224, 287213222"
186,Eumorpha satellitia,No disponible,species,12,"305714260, 304318694, 304069102, 302773927, 300167531, 295321341, 293008777, 291987931, 291984840, 291844500, 288866961, 286712058"
187,Sula sula,Red-footed Booby (Atlantic),species,12,"278579650, 278579648, 278579647, 278579643, 278579640, 278579635, 278579632, 278579628, 278579619, 278579612, 278519314, 277891308"
188,Canis latrans,coyote,species,11,"328011694, 328011054, 320719303, 316182640, 299918375, 299392161, 294356101, 293367542, 292991851, 290733847, 290514143"
189,Sylvilagus graysoni,No disponible,species,11,"327623095, 306317899, 304070675, 297784743, 296621465, 296186171, 296182467, 289066242, 289066236, 282814211, 269492021"
190,Anartia fatima,No disponible,species,11,"326046336, 325783954, 324332354, 324247240, 320515187, 319879051, 319786491, 319189225, 318936001, 318675595, 318345197"
191,Cecropterus dorantes,No disponible,species,11,"323480537, 319208547, 319204489, 319189232, 318917499, 318788710, 318564973, 318505194, 305578250, 298042048, 284562402"
192,Vareuptychia themis,No disponible,species,11,"321056346, 315333559, 315333106, 315160570, 314930397, 314455877, 309982304, 309029460, 305586336, 305572037, 305572021"
193,Campephilus guatemalensis,pale-billed woodpecker,species,11,"320229331, 319184011, 319033683, 315332822, 314871026, 310273703, 304373424, 281229265, 276814252, 269709910, 268778878"
194,Gallinula galeata,No disponible,species,11,"319608070, 319426589, 319426557, 318709396, 318709253, 298321748, 298199324, 290797792, 277856222, 272570633, 271370363"
195,Aspidoscelis costatus,No disponible,species,11,"319505304, 319505301, 299832890, 290686317, 290514338, 290514288, 289748365, 288529442, 288499148, 287744702, 278512639"
196,Hyptis albida,No disponible,species,11,"319387885, 319055065, 288582386, 288582172, 288028605, 283024148, 278734422, 277230548, 273709280, 270876899, 269503426"
197,Jacana spinosa,Northern Jacana,species,11,"318974673, 318469547, 305097732, 298325902, 298182836, 293052395, 292218689, 290514249, 284848608, 273645631, 269699828"
198,Chlosyne janais gloriosa,No disponible,subspecies,11,"316620720, 309982298, 305867896, 303079473, 303078361, 301793338, 301702380, 301702328, 300042668, 299830820, 297343461"
199,Thalasseus maximus,Royal Tern,species,11,"315321909, 315321908, 299918372, 296401401, 295858125, 290262158, 290261858, 282937697, 269822713, 269822697, 269814729"
200,Megaceryle torquata,No disponible,species,11,"312345803, 311750427, 307882750, 300011946, 300011945, 298295494, 296948657, 290804883, 290295171, 286204722, 285277613"
201,Calosoma angulatum,No disponible,species,11,"302978044, 302977944, 301792706, 299729558, 298274978, 298162630, 297633702, 297407188, 296400144, 295391890, 294507467"
202,Hermetia illucens,No disponible,species,10,"328147873, 326260311, 326260309, 326111054, 322408522, 319697407, 298042030, 296335995, 296028791, 280383891"
203,Chromolaichma sedna,No disponible,species,10,"328014880, 326524327, 324975718, 324637544, 324637539, 318331282, 310963696, 292791474, 277523847, 277468617"
204,Oxynoe aliciae,No disponible,species,10,"328014866, 325385660, 325385657, 325385656, 325385655, 325385654, 325376453, 321989132, 321878269, 321878264"
205,Drymarchon melanurus,blacktail cribo,species,10,"327803402, 327802695, 326117153, 325228019, 320055223, 307089970, 306728797, 289066288, 282782125, 269771962"
206,Asclepias curassavica,No disponible,species,10,"327708936, 318487288, 318483980, 312074517, 301689864, 295468842, 286092226, 281975781, 270924287, 269310455"
207,Danaus plexippus plexippus,"Mariposa Monarca, Monarch Butterfly, Migratory Monarch Butterfly, Migratory Monarch",subspecies,10,"327707124, 308306500, 304361177, 290796127, 290081669, 289980145, 289221373, 289220552, 286989210, 281438567"
208,Sceloporus melanorhinus,No disponible,species,10,"327147388, 323576007, 319601124, 319395720, 319295294, 319212356, 318554365, 317648891, 283060269, 272626405"
209,Cycloneda sanguinea,No disponible,species,10,"326841684, 326032475, 325349507, 319661845, 319295364, 318533365, 315893431, 313666627, 296036035, 291546956"
210,Diodon hystrix,No disponible,species,10,"326745680, 326288982, 326144883, 324975700, 315581111, 310010092, 300472840, 297795837, 269329185, 269048880"
211,Egretta caerulea,No disponible,species,10,"326584329, 324056154, 318477498, 314018188, 309079069, 300011977, 291601856, 290260866, 286202087, 272487578"
212,Parides montezuma montezuma,No disponible,subspecies,10,"321497332, 319250745, 319074807, 316739150, 314937401, 309344810, 298043913, 292233202, 290210502, 289882398"
213,Mysoria amra,No disponible,species,10,"319505293, 319401054, 319254592, 318946847, 318788742, 318777991, 318557130, 318533311, 318533307, 318480952"
214,Geograpsus lividus,No disponible,species,10,"319267633, 319257817, 319257811, 319256693, 319256625, 297784532, 282154484, 281421671, 280308347, 271330787"
215,Turdus assimilis,No disponible,species,10,"319181693, 319033275, 290038463, 290037907, 288529417, 278733559, 278727333, 274422633, 274422593, 269414057"
216,Aramus guarauna,No disponible,species,10,"318709409, 297794671, 293052394, 292991819, 292911114, 292219005, 291270582, 290514151, 280970586, 272296822"
217,Agelaius phoeniceus,Rotschulterstärling,species,10,"318709404, 314016319, 298321739, 292220137, 292145724, 290514285, 290514248, 290514139, 290514133, 270679093"
218,Cynanthus lawrencei,Tres Marias Hummingbird,species,10,"311587926, 299918323, 299918273, 299918215, 289406614, 289398373, 289066289, 284627063, 276656936, 276653574"
219,Volatinia jacarina,"Semillero Volatinero, Blue-black Grassquit, Erbero neroblu, Jacarinagors, Jacarini noir, Jacariniammer, Jakarinifinke, Jakarinispurv, jakarina, jakarini modročerný, jakariniai pinty, jakarinitangara, jakarína tmavá, polniczka, samettisirkkunen, sit blau i negre, tiziu, Якарина, シコンヒワ, 蓝黑草鹀, 藍黑草鵐",species,10,"308348698, 292991803, 292219886, 284411670, 271544664, 271544661, 271307710, 271307701, 269222003, 269219979"
220,Recurvirostra americana,American Avocet,species,10,"292991864, 290696882, 277856236, 277856179, 277856178, 277856171, 270664834, 270664803, 269695822, 269507437"
221,Ischnochiton muscarius,No disponible,species,9,"328014852, 328014848, 325376460, 325376444, 324637566, 324637563, 321989128, 321878271, 321878257"
222,Camonea umbellata,No disponible,species,9,"327884034, 318709392, 286943291, 277856262, 277759445, 273705778, 272832878, 272570890, 270959385"
223,Salvia angustiarum,No disponible,species,9,"327673742, 302024553, 299344649, 299313751, 297444869, 297443270, 296377542, 296040047, 283641760"
224,Leptotes cassius cassidula,No disponible,subspecies,9,"327576822, 326808515, 319505312, 319056107, 306252782, 291410182, 282505155, 282314472, 274432325"
